Description,Expression,M,N,H
#Part-time worker interaction with fewer cars than adults,(ptype == 2) & (auto_ownership >= num_adults),coef_part_time_worker_interaction_with_cars_greater_than_or_equal_adults_M,coef_part_time_worker_interaction_with_cars_greater_than_or_equal_adults_N,
#Part-time worker interaction with fewer cars than adults,(ptype == 2) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_part_time_worker_interaction_with_fewer_cars_than_adults_M,coef_part_time_worker_interaction_with_fewer_cars_than_adults_N,
#Part-time worker interaction with zero-cars,(ptype == 2) & (auto_ownership == 0),coef_part_time_worker_interaction_with_zero_cars_M,coef_part_time_worker_interaction_with_zero_cars_N,
University student interaction with cars greater than or equal to adults,(ptype == 3) & (auto_ownership >= num_adults),coef_university_student_interaction_with_cars_greater_than_or_equal_adults_M,coef_university_student_interaction_with_cars_greater_than_or_equal_adults_N,
#University student interaction with fewer cars than adults,(ptype == 3) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_university_student_interaction_with_fewer_cars_than_adults_M,coef_university_student_interaction_with_fewer_cars_than_adults_N,
#University student interaction with zero-cars,(ptype == 3) & (auto_ownership == 0),coef_university_student_interaction_with_zero_cars_M,coef_university_student_interaction_with_zero_cars_N,
Non-working adult interaction with fewer cars than adults,(ptype == 4) & (auto_ownership > 0) & (auto_ownership < num_adults),,coef_non_working_adult_interaction_with_fewer_cars_than_adults_N,
Non-working adult interaction with zero-cars,(ptype == 4) & (auto_ownership == 0),,coef_non_working_adult_interaction_with_zero_cars_N,
Retired interaction with cars greater than or equal to adults,(ptype == 5) & (auto_ownership >= num_adults),,coef_retired_interaction_with_cars_greater_than_or_equal_adults_N,
#Retired interaction with fewer cars than adults,(ptype == 5) & (auto_ownership > 0) & (auto_ownership < num_adults),,coef_retired_interaction_with_fewer_cars_than_adults_N,
#Retired interaction with zero-cars,(ptype == 5) & (auto_ownership == 0),,coef_retired_interaction_with_zero_cars_N,
Driving-age child who is in school interaction with cars greater than or equal to adults,(ptype == 6) & (auto_ownership >= num_adults),coef_driving_age_child_who_is_in_school_interaction_with_cars_greater_than_or_equal_adults_M,,
#Driving-age child who is in school interaction with fewer cars than adults,(ptype == 6) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_driving_age_child_who_is_in_school_interaction_with_fewer_cars_than_adults_M,coef_driving_age_child_who_is_in_school_interaction_with_fewer_cars_than_adults_N,
#Driving-age child who is in school interaction with zero-cars,(ptype == 6) & (auto_ownership == 0),coef_driving_age_child_who_is_in_school_interaction_with_zero_cars_M,coef_driving_age_child_who_is_in_school_interaction_with_zero_cars_N,
#Pre-driving-age child who is in school interaction with cars greater than or equal to adults,(ptype == 7) & (auto_ownership >= num_adults),coef_pre_driving_age_child_who_is_in_school_interaction_with_cars_greater_than_or_equal_adults_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_cars_greater_than_or_equal_adults_N,
#Pre-driving-age child who is in school interaction with fewer cars than adults,(ptype == 7) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_pre_driving_age_child_who_is_in_school_interaction_with_fewer_cars_than_adults_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_fewer_cars_than_adults_N,
#Pre-driving-age child who is in school interaction with zero-cars,(ptype == 7) & (auto_ownership == 0),coef_pre_driving_age_child_who_is_in_school_interaction_with_zero_cars_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_zero_cars_N,
#Pre-driving-age child who is too young for school interaction with cars greater than or equal to adults,(ptype == 8) & (auto_ownership >= num_adults),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_cars_greater_than_or_equal_adults_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_cars_greater_than_or_equal_adults_N,
#Pre-driving-age child who is too young for school interaction with fewer cars than adults,(ptype == 8) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_fewer_cars_than_adults_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_fewer_cars_than_adults_N,
#Pre-driving-age child who is too young for school interaction with zero-cars,(ptype == 8) & (auto_ownership == 0),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_zero_cars_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_zero_cars_N,
Full-time worker interaction with household income less than $25k,(ptype == 1) & (income_in_thousands < 25),coef_full_time_worker_interaction_with_hh_income_less_than_25k_M,,
#Full-time worker interaction with household income $25k and $50k,(ptype == 1) & (income_in_thousands >= 25) & (income_in_thousands < 50),coef_full_time_worker_interaction_with_hh_income_between_25k_and_50k_M,coef_full_time_worker_interaction_with_hh_income_between_25k_and_50k_N,
#Full-time worker interaction with household income $100k and $150k,(ptype == 1) & (income_in_thousands >= 100) & (income_in_thousands < 150),coef_full_time_worker_interaction_with_hh_income_between_100k_and_150k_M,coef_full_time_worker_interaction_with_hh_income_between_100k_and_150k_N,
#Full-time worker interaction with household income $150k or more,(ptype == 1) & (income_in_thousands >= 150),coef_full_time_worker_interaction_with_hh_income_150k_or_more_M,coef_full_time_worker_interaction_with_hh_income_150k_or_more_N,
#Part-time worker interaction with household income less than $25k,(ptype == 2) & (income_in_thousands < 25),coef_part_time_worker_interaction_with_hh_income_less_than_25k_M,coef_part_time_worker_interaction_with_hh_income_less_than_25k_N,
#Part-time worker interaction with household income $25k and $50k,(ptype == 2) & (income_in_thousands >= 25) & (income_in_thousands < 50),coef_part_time_worker_interaction_with_hh_income_between_25k_and_50k_M,coef_part_time_worker_interaction_with_hh_income_between_25k_and_50k_N,
#Part-time worker interaction with household income $100k and $150k,(ptype == 2) & (income_in_thousands >= 100) & (income_in_thousands < 150),coef_part_time_worker_interaction_with_hh_income_between_100k_and_150k_M,coef_part_time_worker_interaction_with_hh_income_between_100k_and_150k_N,
#Part-time worker interaction with household income $150k or more,(ptype == 2) & (income_in_thousands >= 150),coef_part_time_worker_interaction_with_hh_income_150k_or_more_M,coef_part_time_worker_interaction_with_hh_income_150k_or_more_N,
#University student interaction with household income less than $25k,(ptype == 3) & (income_in_thousands < 25),coef_university_student_interaction_with_hh_income_less_than_25k_M,coef_university_student_interaction_with_hh_income_less_than_25k_N,
#University student interaction with household income $25k and $50k,(ptype == 3) & (income_in_thousands >= 25) & (income_in_thousands < 50),coef_university_student_interaction_with_hh_income_between_25k_and_50k_M,coef_university_student_interaction_with_hh_income_between_25k_and_50k_N,
#University student interaction with household income $100k and $150k,(ptype == 3) & (income_in_thousands >= 100) & (income_in_thousands < 150),coef_university_student_interaction_with_hh_income_between_100k_and_150k_M,coef_university_student_interaction_with_hh_income_between_100k_and_150k_N,
#University student interaction with household income $150k or more,(ptype == 3) & (income_in_thousands >= 150),coef_university_student_interaction_with_hh_income_150k_or_more_M,coef_university_student_interaction_with_hh_income_150k_or_more_N,
#Non-working adult interaction with household income less than $25k,(ptype == 4) & (income_in_thousands < 25),,coef_non_working_adult_interaction_with_hh_income_less_than_25k_N,
#Non-working adult interaction with household income between $25k and $50k,(ptype == 4) & (income_in_thousands >= 25) & (income_in_thousands < 50),,coef_non_working_adult_interaction_with_hh_income_between_25k_and_50k_N,
#Non-working adult interaction with household income between $100k and $150k,(ptype == 4) & (income_in_thousands >= 100) & (income_in_thousands < 150),,coef_non_working_adult_interaction_with_hh_income_between_100k_and_150k_N,
Non-working adult interaction with household income between $150k and $200k,(ptype == 4) & (income_in_thousands >= 150) & (income_in_thousands < 200),,coef_non_working_adult_interaction_with_hh_income_between_150k_and_200k_N,
Non-working adult interaction with household income $200k or more,(ptype == 4) & (income_in_thousands >= 200),,coef_non_working_adult_interaction_with_hh_income_200k_or_more_N,
#Retired interaction with household income less than $25k,(ptype == 5) & (income_in_thousands < 25),,coef_retired_interaction_with_hh_income_less_than_25k_N,
#Retired interaction with household income between $25k and $50k,(ptype == 5) & (income_in_thousands >= 25) & (income_in_thousands < 50),,coef_retired_interaction_with_hh_income_between_25k_and_50k_N,
Retired interaction with household income between $100k and $150k,(ptype == 5) & (income_in_thousands >= 100) & (income_in_thousands < 150),,coef_retired_interaction_with_hh_income_between_100k_and_150k_N,
#Retired interaction with household income between $150k and $200k,(ptype == 5) & (income_in_thousands >= 150) & (income_in_thousands < 200),,coef_retired_interaction_with_hh_income_between_150k_and_200k_N,
Retired interaction with household income $150k or more,(ptype == 5) & (income_in_thousands >= 150),,coef_retired_interaction_with_hh_income_150k_or_more_N,
#Driving-age child who is in school interaction with household income less than $25k,(ptype == 6) & (income_in_thousands < 25),coef_driving_age_child_who_is_in_school_interaction_with_hh_income_less_than_25k_M,coef_driving_age_child_who_is_in_school_interaction_with_hh_income_less_than_25k_N,
#Driving-age child who is in school interaction with household income between $36k and $50k,(ptype == 6) & (income_in_thousands >= 25) & (income_in_thousands < 50),coef_driving_age_child_who_is_in_school_interaction_with_hh_income_between_25k_and_50k_M,coef_driving_age_child_who_is_in_school_interaction_with_hh_income_between_25k_and_50k_N,
#Driving-age child who is in school interaction with household income between $100k and $150k,(ptype == 6) & (income_in_thousands >= 100) & (income_in_thousands < 150),coef_driving_age_child_who_is_in_school_interaction_with_hh_income_between_100k_and_150k_M,coef_driving_age_child_who_is_in_school_interaction_with_hh_income_between_100k_and_150k_N,
#Driving-age child who is in school interaction with household income $150k or more,(ptype == 6) & (income_in_thousands >= 150),coef_driving_age_child_who_is_in_school_interaction_with_hh_income_150k_or_more_M,coef_driving_age_child_who_is_in_school_interaction_with_hh_income_150k_or_more_N,
#Pre-driving-age child who is in school interaction with household income less than $25k,(ptype == 7) & (income_in_thousands < 25),coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_less_than_25k_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_less_than_25k_N,
#Pre-driving-age child who is in school interaction with household income between $50k and $100k,(ptype == 7) & (income_in_thousands >= 25) & (income_in_thousands < 50),coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_between_25k_and_50k_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_between_25k_and_50k_N,
#Pre-driving-age child who is in school interaction with household income between $100k and $150k,(ptype == 7) & (income_in_thousands >= 100) & (income_in_thousands < 150),coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_between_100k_and_150k_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_between_100k_and_150k_N,
#Pre-driving-age child who is in school interaction with household income between $150k and $200k,(ptype == 7) & (income_in_thousands >= 150) & (income_in_thousands < 200),coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_between_150k_and_200k_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_between_150k_and_200k_N,
Pre-driving-age child who is in school interaction with household income $150k or more,(ptype == 7) & (income_in_thousands >= 150),coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_150k_or_more_M,coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_150k_or_more_N,
#Pre-driving-age child who is too young for school interaction with household income less than $25k,(ptype == 8) & (income_in_thousands < 25),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_less_than_25k_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_less_than_25k_N,
#Pre-driving-age child who is too young for school interaction with household income between $50k and $100k,(ptype == 8) & (income_in_thousands >= 25) & (income_in_thousands < 50),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_25k_and_50k_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_25k_and_50k_N,
#Pre-driving-age child who is too young for school interaction with household income between $100k and $150k,(ptype == 8) & (income_in_thousands >= 100) & (income_in_thousands < 150),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_100k_and_150k_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_100k_and_150k_N,
Pre-driving-age child who is too young for school interaction with household income between $150k and $200k,(ptype == 8) & (income_in_thousands >= 150) & (income_in_thousands < 200),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_150k_and_200k_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_150k_and_200k_N,
Pre-driving-age child who is too young for school interaction with household income $200k or more,(ptype == 8) & (income_in_thousands >= 200),coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_200k_or_more_M,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_200k_or_more_N,
#peak accessibility to all employment low,(pemploy <= 2) * (auPkTotal<10.5),coef_peak_accessibility_to_all_employment_low_M,,
#off-peak accessibility to retail low,(auOpRetail<10),,coef_off_peak_accessibility_to_retail_low_N,
#Full-time worker interaction with peak accessibility to all employment low,(ptype == 1) * (auPkTotal<10.5),coef_full_time_worker_interaction_with_peak_accessibility_to_all_employment_M,,
#Part-time worker interaction with peak accessibility to all employment low,(ptype == 2) * (auPkTotal<10.5),coef_part_time_worker_interaction_with_peak_accessibility_to_all_employment_M,,
#University student interaction with off-peak accessibility to retail low,(ptype == 3) * (auOpRetail<10),,coef_non_working_adult_retired_or_univ_student_interaction_with_off_peak_accessibility_to_all_employment_N,
#Non-working adult interaction with off-peak accessibility to retail low,(ptype == 4) * (auOpRetail<10),,coef_non_working_adult_retired_or_univ_student_interaction_with_off_peak_accessibility_to_all_employment_N,
#Retired interaction with off-peak accessibility to retail low,(ptype == 5) * (auOpRetail<10),,coef_non_working_adult_retired_or_univ_student_interaction_with_off_peak_accessibility_to_all_employment_N,
#Driving-age child who is in school interaction with off-peak accessibility to retail low,(ptype == 6) * (auOpRetail<10),,coef_child_who_is_in_school_or_too_young_for_school_interaction_with_off_peak_accessibility_to_retail_N,
#Pre-driving-age child who is in school interaction with off-peak accessibility to retail low,(ptype == 7) * (auOpRetail<10),,coef_child_who_is_in_school_or_too_young_for_school_interaction_with_off_peak_accessibility_to_retail_N,
Full-time worker interaction with telecommutes 1 day per week,(ptype == 1) & (telecommute_frequency=='1_day_week'),,coef_full_time_worker_interaction_with_telecommute_1_day_week_N,coef_full_time_worker_interaction_with_telecommute_1_day_week_H
Full-time worker interaction with telecommutes 2-3 days per week,(ptype == 1) & (telecommute_frequency=='2_3_days_week'),,coef_full_time_worker_interaction_with_telecommute_2_3_days_week_N,coef_full_time_worker_interaction_with_telecommute_2_3_days_week_H
Full-time worker interaction with telecommutes 4 days per week,(ptype == 1) & (telecommute_frequency=='4_days_week'),,coef_full_time_worker_interaction_with_telecommute_4_days_week_N,coef_full_time_worker_interaction_with_telecommute_4_days_week_H
Part-time worker interaction with telecommutes 1 day per week,(ptype == 2) & (telecommute_frequency=='1_day_week'),,coef_part_time_worker_interaction_with_telecommute_1_day_week_N,coef_part_time_worker_interaction_with_telecommute_1_day_week_H
Part-time worker interaction with telecommutes 2-3 days per week,(ptype == 2) & (telecommute_frequency=='2_3_days_week'),,coef_part_time_worker_interaction_with_telecommute_2_3_days_week_N,coef_part_time_worker_interaction_with_telecommute_2_3_days_week_H
Part-time worker interaction with telecommutes 4 days per week,(ptype == 2) & (telecommute_frequency=='4_days_week'),,coef_part_time_worker_interaction_with_telecommute_4_days_week_N,coef_part_time_worker_interaction_with_telecommute_4_days_week_H
#University student interaction with telecommutes 1 day per week,(ptype == 3) & (pemploy == 2) & (telecommute_frequency=='1_day_week'),,coef_university_student_interaction_with_telecommute_1_day_week_N,coef_university_student_interaction_with_telecommute_1_day_week_H
#University student interaction with telecommutes 2-3 days per week,(ptype == 3) & (pemploy == 2) & (telecommute_frequency=='2_3_days_week'),,coef_university_student_interaction_with_telecommute_2_3_days_week_N,coef_university_student_interaction_with_telecommute_2_3_days_week_H
#University student interaction with telecommutes 4 days per week,(ptype == 3) & (pemploy == 2) & (telecommute_frequency=='4_days_week'),,coef_university_student_interaction_with_telecommute_4_days_week_N,coef_university_student_interaction_with_telecommute_4_days_week_H
Full-time worker interaction with telecommuting 3+ hours,(ptype == 1) & (is_telecommuting),,coef_full_time_worker_interaction_with_telecommuter_N,coef_full_time_worker_interaction_with_telecommuter_H
Part-time worker interaction with telecommuting 3+ hours,(ptype == 2) & (is_telecommuting),,coef_part_time_worker_interaction_with_telecommuter_N,coef_part_time_worker_interaction_with_telecommuter_H
University student interaction with telecommuing 3+ hours,(ptype == 3) & (pemploy == 2) & (is_telecommuting),,coef_university_student_interaction_with_telecommuter_N,coef_university_student_interaction_with_telecommuter_H
#Full-time worker interaction with telecommuting hours,(ptype == 1) * (telework_time),,coef_full_time_worker_interaction_with_telecommute_hours_N,coef_full_time_worker_interaction_with_telecommute_hours_week_H
#Part-time worker interaction with telecommuting hours,(ptype == 2) * (telework_time),,coef_part_time_worker_interaction_with_telecommute_hours_N,coef_part_time_worker_interaction_with_telecommute_hours_week_H
#University student interaction with telecommuing hours,(ptype == 3) * (pemploy == 2) * (telework_time),,coef_university_student_interaction_with_telecommute_hours_N,coef_university_student_interaction_with_telecommute_hours_week_H
Full time worker who works from home,(ptype == 1)&(work_from_home),coef_UNAVAILABLE,coef_full_time_worker_interaction_with_work_from_home_N,
Part time worker who works from home,(ptype == 2)&(work_from_home),coef_UNAVAILABLE,,
#University student workers who works from home,(ptype == 3)&(work_from_home),,,
#Full time work from home worker not working,(ptype == 1) & work_from_home & (telework_time == 0),,coef_full_time_worker_interaction_with_work_from_home_not_working_N,
#Full time work from home worker teleworking 0-1 hrs,(ptype == 1) & work_from_home & (telework_time > 0) & (telework_time <= 1),,coef_full_time_worker_interaction_with_work_from_home_telework_0_to_1_hr_N,
#Full time work from home worker teleworking 1-2 hrs,(ptype == 1) & work_from_home & (telework_time > 1) & (telework_time <= 2),,coef_full_time_worker_interaction_with_work_from_home_telework_1_to_2_hr_N,
#Full time work from home worker teleworking 2-3 hrs,(ptype == 1) & work_from_home & (telework_time > 2) & (telework_time <= 3),,coef_full_time_worker_interaction_with_work_from_home_telework_2_to_3_hr_N,
#Full time work from home worker teleworking 3-4 hrs,(ptype == 1) & work_from_home & (telework_time > 3) & (telework_time <= 4),,coef_full_time_worker_interaction_with_work_from_home_telework_3_to_4_hr_N,
#Full time work from home worker teleworking 4-5 hrs,(ptype == 1) & work_from_home & (telework_time > 4) & (telework_time <= 5),,coef_full_time_worker_interaction_with_work_from_home_telework_4_to_5_hr_N,
#Full time work from home worker teleworking 5-6 hrs,(ptype == 1) & work_from_home & (telework_time > 5) & (telework_time <= 6),,coef_full_time_worker_interaction_with_work_from_home_telework_5_to_6_hr_N,
#Full time work from home worker teleworking 6-7 hrs,(ptype == 1) & work_from_home & (telework_time > 6) & (telework_time <= 7),,coef_full_time_worker_interaction_with_work_from_home_telework_6_to_7_hr_N,
#Full time work from home worker teleworking 7-8 hrs,(ptype == 1) & work_from_home & (telework_time > 7) & (telework_time <= 8),,coef_full_time_worker_interaction_with_work_from_home_telework_7_to_8_hr_N,
#Full time work from home worker teleworking 8+ hrs,(ptype == 1) & work_from_home & (telework_time > 8),,coef_full_time_worker_interaction_with_work_from_home_telework_8_plus_hr_N,
#Full time not work from home worker not teleworking,(ptype == 1) & ~work_from_home & (telework_time == 0),coef_full_time_worker_interaction_with_not_work_from_home_no_telework_M,coef_full_time_worker_interaction_with_not_work_from_home_no_telework_N,
#Full time not work from home worker teleworking 0-1 hrs,(ptype == 1) & ~work_from_home & (telework_time > 0) & (telework_time <= 1),coef_full_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_N,
#Full time not work from home worker teleworking 1-2 hrs,(ptype == 1) & ~work_from_home & (telework_time > 1) & (telework_time <= 2),coef_full_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_N,
#Full time not work from home worker teleworking 2-3 hrs,(ptype == 1) & ~work_from_home & (telework_time > 2) & (telework_time <= 3),coef_full_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_N,
#Full time not work from home worker teleworking 3-4 hrs,(ptype == 1) & ~work_from_home & (telework_time > 3) & (telework_time <= 4),coef_full_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_N,
#Full time not work from home worker teleworking 4-5 hrs,(ptype == 1) & ~work_from_home & (telework_time > 4) & (telework_time <= 5),coef_full_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_N,
#Full time not work from home worker teleworking 5-6 hrs,(ptype == 1) & ~work_from_home & (telework_time > 5) & (telework_time <= 6),coef_full_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_N,
#Full time not work from home worker teleworking 6-7 hrs,(ptype == 1) & ~work_from_home & (telework_time > 6) & (telework_time <= 7),coef_full_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_N,
#Full time not work from home worker teleworking 7-8 hrs,(ptype == 1) & ~work_from_home & (telework_time > 7) & (telework_time <= 8),coef_full_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_N,
#Full time not work from home worker teleworking 8+ hrs,(ptype == 1) & ~work_from_home & (telework_time > 8),coef_full_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_M,coef_full_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_N,
#Part time work from home worker not working,(ptype == 2) & work_from_home & (telework_time == 0),,coef_part_time_worker_interaction_with_work_from_home_not_working_N,
#Part time work from home worker teleworking 0-1 hrs,(ptype == 2) & work_from_home & (telework_time > 0) & (telework_time <= 1),,coef_part_time_worker_interaction_with_work_from_home_telework_0_to_1_hr_N,
#Part time work from home worker teleworking 1-2 hrs,(ptype == 2) & work_from_home & (telework_time > 1) & (telework_time <= 2),,coef_part_time_worker_interaction_with_work_from_home_telework_1_to_2_hr_N,
#Part time work from home worker teleworking 2-3 hrs,(ptype == 2) & work_from_home & (telework_time > 2) & (telework_time <= 3),,coef_part_time_worker_interaction_with_work_from_home_telework_2_to_3_hr_N,
#Part time work from home worker teleworking 3-4 hrs,(ptype == 2) & work_from_home & (telework_time > 3) & (telework_time <= 4),,coef_part_time_worker_interaction_with_work_from_home_telework_3_to_4_hr_N,
#Part time work from home worker teleworking 4-5 hrs,(ptype == 2) & work_from_home & (telework_time > 4) & (telework_time <= 5),,coef_part_time_worker_interaction_with_work_from_home_telework_4_to_5_hr_N,
#Part time work from home worker teleworking 5-6 hrs,(ptype == 2) & work_from_home & (telework_time > 5) & (telework_time <= 6),,coef_part_time_worker_interaction_with_work_from_home_telework_5_to_6_hr_N,
#Part time work from home worker teleworking 6-7 hrs,(ptype == 2) & work_from_home & (telework_time > 6) & (telework_time <= 7),,coef_part_time_worker_interaction_with_work_from_home_telework_6_to_7_hr_N,
#Part time work from home worker teleworking 7-8 hrs,(ptype == 2) & work_from_home & (telework_time > 7) & (telework_time <= 8),,coef_part_time_worker_interaction_with_work_from_home_telework_7_to_8_hr_N,
#Part time work from home worker teleworking 8+ hrs,(ptype == 2) & work_from_home & (telework_time > 8),,coef_part_time_worker_interaction_with_work_from_home_telework_8_plus_hr_N,
#Part time not work from home worker not teleworking,(ptype == 2) & ~work_from_home & (telework_time == 0),coef_part_time_worker_interaction_with_not_work_from_home_no_telework_M,coef_part_time_worker_interaction_with_not_work_from_home_no_telework_N,
#Part time not work from home worker teleworking 0-1 hrs,(ptype == 2) & ~work_from_home & (telework_time > 0) & (telework_time <= 1),coef_part_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_N,
#Part time not work from home worker teleworking 1-2 hrs,(ptype == 2) & ~work_from_home & (telework_time > 1) & (telework_time <= 2),coef_part_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_N,
